concept,item,survey,survey_full_name,variable,values,question_text,response_categories,nonresponses
performance,eco_imp4,arabb7,arab barometer 7,q533_3,c(4:1),"As long as a government can solve our country’s economic problem, it does not matter what kind of government we have",1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
performance,bend_ok4a,arabb62,arab barometer 6.2,q533_4,c(4:1),There are many ways to govern a country. Would you disapprove or approve of the following alternatives? This country needs a leader who can bend the rules if necessary to get things done.,1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
performance,bend_ok4a,arabb7,arab barometer 7,q533_4,c(4:1),There are many ways to govern a country. Would you disapprove or approve of the following alternatives? This country needs a leader who can bend the rules if necessary to get things done.,1 Strongly agree; 2 Agree; 3 Disagree; 4 Strongly disagree,c(98:99)
performance,done_o_acc5,afrob5,afrobarometer 5,q33,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement B: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
performance,done_o_acc5,afrob6,afrobarometer 6,q31,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement B: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
performance,done_o_acc5,afrob7,afrobarometer 7,q29,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement B: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,c(8:9)
performance,bend_ok4b,asianb1,asian barometer 1,q125,c(4:1),"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
performance,bend_ok4b,asianb2,asian barometer 2,q141,c(4:1),"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
performance,bend_ok4b,asianb3,asian barometer 3,q148,c(4:1),"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
performance,bend_ok4b,asianb4,asian barometer 4,q149,c(4:1),"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,head4,asianb1,asian barometer 1,q133,c(4:1),Government leaders are like the head of a family; we should all follow their decisions.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
personal trust,head4,asianb2,asian barometer 2,q134,c(4:1),Government leaders are like the head of a family; we should all follow their decisions.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,head4,asianb3,asian barometer 3,q141,c(4:1),Government leaders are like the head of a family; we should all follow their decisions.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,head4,asianb4,asian barometer 4,q142,c(4:1),Government leaders are like the head of a family; we should all follow their decisions.,"1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,parent5,afrob2,afrobarometer 2,q70,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. A: People are like children; the government should take care of them like a parent. B: Government is an employee; the people should be the bosses who control the government.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
personal trust,parent5,afrob4,afrobarometer 4,q18,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. A: People are like children; the government should take care of them like a parent. B: Government is an employee; the people should be the bosses who control the government.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
personal trust,parent5,afrob5,afrobarometer 5,q21,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. A: People are like children; the government should take care of them like a parent. B: Government is an employee; the people should be the bosses who control the government.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
personal trust,upright4,asianb1,asian barometer 1,q138,c(4:1),"If we have political leaders who are morally upright, we can let them decide everything.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
personal trust,upright4,asianb2,asian barometer 2,q139,c(4:1),"If we have political leaders who are morally upright, we can let them decide everything.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,upright4,asianb3,asian barometer 3,q146,c(4:1),"If we have political leaders who are morally upright, we can let them decide everything.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,upright4,asianb4,asian barometer 4,q147,c(4:1),"If we have political leaders who are morally upright, we can let them decide everything.","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
personal trust,obeyruler11,wvs_combo,world values survey time-series 4 (1981-2022),e233b,c(0:10),"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy: People obey their rulers.",0-10: 0 It is against democracy (spontaneous); 1 Not an essential characteristic of democracy; 10 An essential characteristic of democracy,"c(-1,-2)"
personal trust,respectruler5,afrob2,afrobarometer 2,q65,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: As citizens, we should be more active in questioning the actions of our leaders. B: In our country these days, there is not enough respect for authority.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
personal trust,respectruler5,afrob3,afrobarometer 3,q20,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: As citizens, we should be more active in questioning the actions of our leaders. B: In our country these days, there is not enough respect for authority.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
personal trust,respectruler5,afrob4,afrobarometer 4,q16,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: As citizens, we should be more active in questioning the actions of our leaders. B: In our country these days, there is not enough respect for authority.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,judge_ind4,asianb1,asian barometer 1,q136,c(1:4),"When judges decide important cases, they should accept the view of the executive branch","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
checks,judge_ind4,asianb2,asian barometer 2,q137,c(1:4),"When judges decide important cases, they should accept the view of the executive branch","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,judge_ind4,asianb3,asian barometer 3,q144,c(1:4),"When judges decide important cases, they should accept the view of the executive branch","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,judge_ind4,asianb4,asian barometer 4,q145,c(1:4),"When judges decide important cases, they should accept the view of the executive branch","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,obeylaw5,afrob3,afrobarometer 3,q41,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Since the President/Prime Minister was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. B: The President/Prime Minister must always obey the laws and the courts, even if he thinks they are wrong.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,obeylaw5,afrob4,afrobarometer 4,q37,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Since the President/Prime Minister was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. B: The President/Prime Minister must always obey the laws and the courts, even if he thinks they are wrong.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,obeylaw5,afrob5,afrobarometer 5,q40,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. B: The President/Prime Minister must always obey the laws and the courts, even if he thinks they are wrong.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,obeylaw5,afrob6,afrobarometer 6,q38,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. B: The President/Prime Minister must always obey the laws and the courts, even if he thinks they are wrong.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,obeylaw5,afrob7,afrobarometer 7,q33,"c(1,2,5,3,4)","Which of the following statements is closest to your view? Choose Statement A or Statement B. A: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. B: The President/Prime Minister must always obey the laws and the courts, even if he thinks they are wrong.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,c(8:9)
checks,parlegis5,afrob2,afrobarometer 2,q33,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement B: Since the President represents all of us, he/she should pass laws without worrying about what Parliament thinks.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,parlegis5,afrob3,afrobarometer 3,q40,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement B: Since the President represents all of us, he/she should pass laws without worrying about what Parliament thinks.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,parlegis5,afrob4,afrobarometer 4,q36,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement B: Since the President represents all of us, he/she should pass laws without worrying about what Parliament thinks.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,parlegis5,afrob5,afrobarometer 5,q39,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement B: Since the President represents all of us, he/she should pass laws without worrying about what Parliament thinks.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,parlegis5,afrob6,afrobarometer 6,q37,"c(4,3,5,2,1)","Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement B: Since the President represents all of us, he/she should pass laws without worrying about what Parliament thinks.",1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,parcheck4,asianb1,asian barometer 1,q137,c(1:4),"If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",
checks,parcheck4,asianb2,asian barometer 2,q138,c(1:4),"If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,parcheck4,asianb3,asian barometer 3,q145,c(1:4),"If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,parcheck4,asianb4,asian barometer 4,q146,c(1:4),"If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things","1-4: strongly agree, somewhat agree, somewhat disagree, or strongly disagree",c(7:9)
checks,parmoney5,afrob4,afrobarometer 4,q33,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his/her government spends taxpayers’ money. Statement 2: The President should be able to devote his/her full attention to developing the country rather than wasting time justifying his actions.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,parmoney5,afrob5,afrobarometer 5,q36,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his/her government spends taxpayers’ money. Statement 2: The President should be able to devote his/her full attention to developing the country rather than wasting time justifying his actions.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,parmoney5,afrob6,afrobarometer 6,q34,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his/her government spends taxpayers’ money. Statement 2: The President should be able to devote his/her full attention to developing the country rather than wasting time justifying his actions.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,parmoney5,afrob7,afrobarometer 7,q32,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his/her government spends taxpayers’ money. Statement 2: The President should be able to devote his/her full attention to developing the country rather than wasting time justifying his actions.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,c(8:9)
checks,termlimit5,afrob4,afrobarometer 4,q38,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: The Constitution should limit the president to serving a maximum of two terms in office. Statement B: There should be no constitutional limit on how long the president can serve.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,termlimit5,afrob5,afrobarometer 5,q41,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: The Constitution should limit the president to serving a maximum of two terms in office. Statement B: There should be no constitutional limit on how long the president can serve.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,998)"
checks,termlimit5,afrob6,afrobarometer 6,q39,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: The Constitution should limit the president to serving a maximum of two terms in office. Statement B: There should be no constitutional limit on how long the president can serve.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,"c(9,98)"
checks,termlimit5,afrob7,afrobarometer 7,q34,"c(4,3,5,2,1)",Which of the following statements is closest to your view? Choose Statement A or Statement B. Statement A: The Constitution should limit the president to serving a maximum of two terms in office. Statement B: There should be no constitutional limit on how long the president can serve.,1 Agree Very Strongly with A; 2 Agree with A; 3 Agree with B; 4 Agree Very Strongly with B; 5 Agree with Neither,c(8:9)
